,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Blue Mountains Line,Senior/Pensioner,"99,285","106,916","108,657","116,986","114,496","105,972","98,251","99,233","117,856","104,827","118,504","110,367","108,247","107,453","99,213","112,005","113,990","102,088","95,971","103,377","116,188","109,125","120,418","106,773","108,985","113,974","100,505","114,671","117,520","100,570","99,918","98,105","113,609","97,667"
Blue Mountains Line,Sgl Trip Rail Adult,"1,341","5,392","6,382","6,124","6,042","7,381","6,082","5,072","6,196","5,839","5,076","5,252","6,655","6,137","5,604","6,427","6,620","7,562","6,238","6,228","7,541","6,206","6,130","5,972","5,349","5,789","4,619","5,274","5,636","5,435","4,757","3,674","4,776","4,056"
Blue Mountains Line,Sgl Trip Rail Child/Youth,622,"1,428","2,018","1,855","1,427","2,466","2,542","1,229","1,478","2,019","1,214","1,396","2,711","1,595","1,920","1,909","1,722","2,781","2,709","1,742","2,083","2,886","1,771","1,911","2,373","1,735","1,256","1,905","1,372","1,917","2,175",888,"1,252","1,612"
Central Coast Newcastle Line,Adult,"1,073,971","1,125,393","1,090,172","1,051,048","1,126,345","998,680","981,946","1,045,870","1,192,331","1,018,363","1,242,777","1,105,407","1,136,943","1,183,406","1,130,681","1,129,542","1,218,336","936,865","821,876","1,083,682","1,169,498","1,094,093","1,257,026","1,066,756","1,162,066","1,212,793","1,127,437","1,073,010","1,134,503","898,635","908,510","1,025,501","1,093,861","1,008,163"
Central Coast Newcastle Line,Child/Youth,"75,665","56,945","71,814","71,828","68,559","84,261","101,939","63,519","66,079","92,044","64,423","66,232","95,435","59,065","79,789","73,505","73,170","80,419","79,886","68,392","72,674","92,666","63,256","62,204","93,888","58,880","67,121","68,641","62,007","72,774","87,599","64,304","62,329","80,698"
Central Coast Newcastle Line,Concession,"120,568","145,413","115,934","114,758","94,764","70,273","64,150","79,162","156,308","114,347","152,458","105,397","94,295","151,254","119,134","120,591","101,472","66,093","54,521","82,531","143,204","112,278","142,217","95,651","90,063","143,233","112,482","111,307","93,669","63,311","57,556","82,351","140,931","112,438"
Central Coast Newcastle Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,"12,880","17,970","21,211","24,861","26,361"
Central Coast Newcastle Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,2,,,,,7
Central Coast Newcastle Line,Day Pass without SAF,,,,,,,,,,,,,,,17,7,2,,,,15,16,17,33,54,59,70,62,63,53,79,53,66,77
Central Coast Newcastle Line,Employee,"21,733","23,970","24,260","22,889","25,367","22,145","20,804","22,450","24,824","19,993","25,451","22,981","23,378","23,906","21,438","21,902","24,558","19,941","16,926","21,135","22,545","21,131","25,161","21,243","23,084","23,820","21,567","21,797","22,776","19,078","19,244","22,652","22,843","22,069"
Central Coast Newcastle Line,Free Travel,"1,922","2,460","2,416","2,261","2,608","2,177","2,046","2,407","2,597","2,339","2,762","2,449","2,537","2,609","2,403","2,470","2,649","2,157","1,876","2,340","2,564","2,614","2,745","2,349","2,528","2,590","2,417","2,745","3,001","2,461","2,349","2,804","2,791","2,646"
Central Coast Newcastle Line,School Student,"64,031","95,296","70,607","64,200","83,623","35,090","6,408","84,413","98,786","34,067","101,428","83,884","55,243","106,510","66,396","67,843","96,471","33,284","7,086","85,666","88,377","37,788","100,961","81,086","41,524","96,514","81,353","49,324","81,923","34,704","6,037","86,995","93,529","48,483"
Central Coast Newcastle Line,Senior/Pensioner,"205,808","219,372","224,307","224,676","242,001","219,428","205,600","210,605","235,623","219,721","246,641","215,429","228,477","229,055","228,036","226,817","249,938","205,511","170,490","218,930","236,759","232,364","248,510","209,861","232,651","236,962","228,057","209,234","229,843","205,622","184,862","215,931","223,135","220,101"
Central Coast Newcastle Line,Sgl Trip Rail Adult,"2,030","11,626","13,838","13,312","13,823","16,206","14,376","11,801","12,908","13,522","12,285","11,513","14,556","12,860","14,058","14,462","16,789","16,861","12,727","14,580","15,970","15,577","14,510","12,471","12,819","12,815","12,935","12,353","14,657","14,593","11,857","10,608","11,675","12,187"
